,Name,Category,Subcategory,Safety_rating,Quality_rating,Total_rating
0,"Молоко ""Экомилк"" 3,2% пастеризованное", Молочные продукты , Молоко ,95,79,79
1,"Молоко ""Ашан"" 2,5%, пастеризованное", Молочные продукты , Молоко ,88,86,76
2,"Молоко ""Вологодское лето"" 2,5%, пастеризованное", Молочные продукты , Молоко ,83,62,70
3,"Молоко ""Молоко нашей дойки"" 2,5%, пастеризованное", Молочные продукты , Молоко ,90,70,73
4,"Молоко Billa 2,5%, пастеризованное", Молочные продукты , Молоко ,89,73,72
5,"Молоко ""Сарафаново"" 2,5%, пастеризованное", Молочные продукты , Молоко ,89,73,72
6,"Молоко ""Простоквашино"" 2,5%, пастеризованное", Молочные продукты , Молоко ,89,80,75
7,"Молоко ""Домик в деревне"" 2,5%, пастеризованное", Молочные продукты , Молоко ,86,75,73
8,"Молоко ""Зеленая линия / Маркет Перекресток"", 3,2% пастеризованное", Молочные продукты , Молоко ,80,73,75
9,"Молоко ""Искренне Ваш"", 3,2% пастеризованное", Молочные продукты , Молоко ,62,83,70
10,"Молоко Globus, 3,2% пастеризованное", Молочные продукты , Молоко ,66,93,75
11,"Молоко ""Вологжанка"", 3,2% пастеризованное", Молочные продукты , Молоко ,86,59,72
12,"Молоко ""Село Зеленое"" 3,2% пастеризованное", Молочные продукты , Молоко ,88,82,77
13,"Молоко ""Красная цена"", 3,2%, ультрапастеризованное", Молочные продукты , Молоко ,83,76,71
14,"Молоко ""Простоквашино"" 3,2% ультрапастеризованное", Молочные продукты , Молоко ,88,73,73
15,"Молоко ""Село Зеленое"" 3,2% ультрапастеризованное", Молочные продукты , Молоко ,91,84,77
16,"Молоко ""Простоквашино"" отборное, от 3,4% до 4,5% пастеризованное", Молочные продукты , Молоко ,92,91,82
17,"Молоко ""Останкинское"" 3,2% ультрапастеризованное", Молочные продукты , Молоко ,97,32,68
18,"Молоко ""Сарафаново"" 3,2% ультрапастеризованное", Молочные продукты , Молоко ,97,49,71
19,"Молоко ""Валио"" 3,2% ультрапастеризованное", Молочные продукты , Молоко ,97,49,73
20,"Молоко ""Авида"" 3,2% ультрапастеризованное", Молочные продукты , Молоко ,97,15,63
21,"Молоко ""Вкуснотеево"" 3,2% пастеризованное", Молочные продукты , Молоко ,97,82,80
22,"Молоко ""Асеньевская ферма"" 3,2% пастеризованное", Молочные продукты , Молоко ,94,56,73
23,"Молоко ""Рузское"" 3,2-4% пастеризованное", Молочные продукты , Молоко ,97,56,65
24,"Молоко ""Домик в деревне"" 3,5% пастеризованное", Молочные продукты , Молоко ,90,56,61
25,"Молоко ""Мамуля"" 3,2% ультрапастеризованное", Молочные продукты , Молоко ,100,56,61
26,"Молоко ""Вологжанка"" 1,5% пастеризованное", Молочные продукты , Молоко ,82,56,59
27,"Молоко ""Простоквашино"" 3,5% пастеризованное", Молочные продукты , Молоко ,63,56,56
28,"Молоко ""Дмитровский молочный завод"", 3,2%, ультрапастеризованное", Молочные продукты , Молоко ,63,56,56
29,"Молоко ""Красная цена"" 3,2% пастеризованное", Молочные продукты , Молоко ,63,56,56
30,"Молоко ""Домик в деревне"" 3,2% ультрапастеризованное", Молочные продукты , Молоко ,63,56,56
31,"Молоко ""Афанасий"" 3,2% пастеризованное", Молочные продукты , Молоко ,63,56,56
32,"Молоко ""Дмитровский молочный завод"" 3,2% пастеризованное", Молочные продукты , Молоко ,63,56,56
33,"Молоко ""Авида"" 3,2% пастеризованное", Молочные продукты , Молоко ,63,56,56
34,"Молоко ""Честное коровье молоко"", 3,2%, ультрапастеризованное", Молочные продукты , Молоко ,63,56,56
35,"Молоко ""36 копеек"", 3,2%, ультрапастеризованное", Молочные продукты , Молоко ,63,56,56
