,Name,Category,Subcategory,Safety_rating,Quality_rating,Total_rating
0,Fine Life - Fine Life Крупа рисовая. рис шлифованный. первый сорт ,Бакалея,Рис круглозерный,5.000,5.000,5.0000
1,Makfa - Крупа Рисовая Makfa. Рис шлифованный круглозерный. первый сорт ,Бакалея,Рис круглозерный,5.000,5.000,5.0000
2,Д ,Бакалея,Рис круглозерный,5.000,5.000,5.0000
3,"Дон Густо - Крупа рисовая шлифованная, фасованная под торговым наименованием «Рис круглозерный «Дон Густо». Первый сорт. ",Бакалея,Рис круглозерный,5.000,5.000,5.0000
4,Мистраль - Мистраль. Крупа рисовая фасованная. Белый круглозерный рис «Кубань». Первый сорт ,Бакалея,Рис круглозерный,5.000,5.000,5.0000
5,Националь - Националь. Крупа рисовая шлифованная ,Бакалея,Рис круглозерный,5.000,5.000,5.0000
6,Националь - Националь. Крупа рисовая шлифованная ,Бакалея,Рис круглозерный,5.000,5.000,5.0000
7,"Пассим - Пассим. Крупа, рис шлифованный круглозерный. Высший сорт. ",Бакалея,Рис круглозерный,5.000,5.000,5.0000
8,Селяночка - Селяночка Крупа рисовая. Рис шлифованный.Круглозерный Сорт 1 ,Бакалея,Рис круглозерный,5.000,5.000,5.0000
9,Степь - Крупа рисовая: рис шлифованный круглозерный «Степь» ,Бакалея,Рис круглозерный,5.000,5.000,5.0000
10,Теплые традиции - Теплые традиции. Крупа рисовая. 1 сорт круглозерный. Шлифованная. ,Бакалея,Рис круглозерный,5.000,5.000,5.0000
11,"Prosto - Крупа рисовая шлифованная, рис «Краснодарский» в пакетиках для варки Prosto ",Бакалея,Рис круглозерный,5.000,5.000,4.9000
12,Еврозлак - Еврозлак. Рис круглозерный. Первый сорт.  ,Бакалея,Рис круглозерный,5.000,5.000,4.9000
13,Каждый день - Каждый день. Крупа рисовая шлифованная. Третий сорт.  ,Бакалея,Рис круглозерный,5.000,5.000,4.8000
14,Первым делом - Первым делом. Крупа рисовая шлифованная. Сорт 3.  ,Бакалея,Рис круглозерный,5.000,5.000,4.8000
15,Увелка - Увелка. Рис круглозерный шлифованный. ,Бакалея,Рис круглозерный,5.000,5.000,4.8000
16,Продсервис - Продсервис. Рис шлифованный круглозерный. Сорт 1. ,Бакалея,Рис круглозерный,5.000,5.000,4.7000
17,"То, что надо! - То,что надо! Крупа рисовая шлифованная. Рис круглозерный. Первый сорт. ",Бакалея,Рис круглозерный,5.000,5.000,4.7000
18,Южная Рисовая Компания - Южная рисовая компания. Крупа рисовая шлифованная. Рис круглозёрный шлифованный. сорт 3 ,Бакалея,Рис круглозерный,5.000,5.000,4.7000
19,Ярмарка - Ярмарка. Рис шлифованный круглозерный. Высший сорт. ,Бакалея,Рис круглозерный,5.000,5.000,4.7000
20,О'кей - О`Кей. Крупа рисовая шлифованная. Рис Круглозерный. Сорт 1 ,Бакалея,Рис круглозерный,5.000,5.000,4.6000
21,Maltagliati - Maltagliati. Крупа Рисовая. Рис шлифованный среднезерный. Первый сорт ,Бакалея,Рис круглозерный,5.000,5.000,4.5000
22,Агрокультура - Агрокультура. Крупа рисовая шлифованная. Рис круглозерный ,Бакалея,Рис круглозерный,5.000,5.000,4.5000
23,Аксиома - Аксиома. Рис шлифованный. Круглозерный. Сорт 1. ,Бакалея,Рис круглозерный,5.000,5.000,4.5000
24,Карачиха - Карачиха. Крупа рисовая шлифованная. Первый сорт.  ,Бакалея,Рис круглозерный,5.000,5.000,4.5000
25,"Маркет-Перекресток - Крупа рисовая шлифованная, рис круглозерный «Маркет-Перекресток» ",Бакалея,Рис круглозерный,5.000,5.000,4.5000
26,Мистраль - Крупа рисовая фасованная. Белый круглозерный рис «Италика». Высший сорт ,Бакалея,Рис круглозерный,5.000,5.000,4.5000
27,Гудвилл - Гудвилл. Рис шлифованный круглозерный. 1 сорт. ,Бакалея,Рис круглозерный,5.000,5.000,4.4000
28,365 дней - 365 дней. Крупа рисовая шлифованная. Рис круглозерный. 2 сорт ,Бакалея,Рис круглозерный,5.000,5.000,4.1250
29,Лента - Лента. Крупа рисовая шлифованная. Первый сорт.  ,Бакалея,Рис круглозерный,5.000,5.000,4.1000
30,Smart - Рис круглозерный шлифованный Smart ,Бакалея,Рис круглозерный,5.000,5.000,4.0000
31,Super - Рис круглозерный шлифованный Super ,Бакалея,Рис круглозерный,5.000,5.000,4.0000
32,Родной продукт - Рис круглозерный отборный «Родной продукт» ,Бакалея,Рис круглозерный,5.000,5.000,4.0000
33,"Globus - Крупа рисовая шлифованная, рис круглозерный, первый сорт, Globus ",Бакалея,Рис круглозерный,5.000,5.000,3.5000
34,"Агро-Альянс - Рис «Кубанский», крупа рисовая шлифованная «Агро-Альянс» ",Бакалея,Рис круглозерный,5.000,5.000,3.5000
35,Алтайская сказка - Рис круглозерный шлифованный «Алтайская сказка» ,Бакалея,Рис круглозерный,5.000,5.000,3.5000
36,"Ашан - Крупа рисовая шлифованная, рис круглозерный, 1 сорт «Ашан» ",Бакалея,Рис круглозерный,5.000,5.000,3.5000
37,Гудвилл - Крупа: рис шлифованный «Краснодарский» «Гудвилл» ,Бакалея,Рис круглозерный,5.000,5.000,3.5000
38,Настоящая хозяйка - Рис круглозерный шлифованный «Настоящая хозяйка» ,Бакалея,Рис круглозерный,5.000,5.000,3.5000
39,Пассим - Крупа: рис шлифованный круглозерный «Кубанский» «Пассим» ,Бакалея,Рис круглозерный,5.000,5.000,3.5000
40,Царь - Крупа рисовая: рис шлифованный круглозерный «Царь» ,Бакалея,Рис круглозерный,5.000,5.000,3.5000
41,Агро-Альянс - Агро-Альянс. Крупа рисовая шлифованная. Сорт 2 ,Бакалея,Рис круглозерный,0.000,0.000,3.0000
42,На здоровье - Крупа рисовая «На здоровье» ,Бакалея,Рис круглозерный,5.000,0.000,2.9000
43,"Astoria - Крупа рисовая, рис белый круглозерный шлифованный Astoria ",Бакалея,Рис круглозерный,5.000,0.000,2.1000
44,Каскад - Рис круглозерный «Каскад» ,Бакалея,Рис круглозерный,5.000,0.000,2.0000
45,Victoria - Круглозерный шлифованный рис Victoria ,Бакалея,Рис круглозерный,5.000,0.000,1.8500
46,"ВкусВилл - Крупа рисовая шлифованная, рис круглозерный «ВкусВилл» ",Бакалея,Рис круглозерный,5.000,0.000,1.5000
47,Красная цена - Крупа: рис шлифованный круглозерный «Красная цена» ,Бакалея,Рис круглозерный,5.000,0.000,1.5000
48,Скайфуд - Скайфуд. Рис шлифованный круглозерный. Сорт 3. ,Бакалея,Рис круглозерный,0.000,0.000,
49,Тугова Гора - Тугова гора. Крупа рисовая. Круглозерный. Первый сорт.  ,Бакалея,Рис круглозерный,0.000,0.000,
50,Чистая Крупа - Чистая крупа. Крупа рисовая шлифованная 1 сорта из зерна риса 3 и 4 типов ,Бакалея,Рис круглозерный,0.000,0.000,
51,Шебекинский - Шебекинский. Крупа Рисовая. Рис шлифованный классический высококачественный. Первый сорт. ,Бакалея,Рис круглозерный,0.000,0.000,
52,Яровое поле - Яровое поле. Крупа рисовая шлифованная ,Бакалея,Рис круглозерный,0.000,0.000,
53,"Barilla - Макаронные изделия из твердых сортов пшеницы, группа А, высший сорт, Penne Rigate ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,5.0000
54,La Molisana - Изделия макаронные из твердых сортов пшеницы: «перья» рифленые ,Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,5.0000
55,Итальянские - Изделия макаронные из пшеничной муки «Итальянские» ,Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,5.0000
56,"Роллтон - Изделия макаронные «перья», группа А, сорт высший «Роллтон» ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,5.0000
57,"Grand di Pasta - Изделия макаронные, группа А, высший сорт Grand di Pasta ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,4.8650
58,"Лимак - Изделия макаронные, группа А, высший сорт «Лимак» ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,4.7300
59,"Makfa - Изделия макаронные группа А, высший сорт, перья Makfa ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,4.5950
60,"Гальяни - Макаронные изделия из твердых сортов пшеницы, группы А, высший сорт «Гальяни» ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,4.5950
61,"Federici - Изделия макаронные, группы А, высшего сорта, №23, «перья» рифленые Federici ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,4.4600
62,Maltagliati - Макаронные изделия из муки твердой пшеницы Maltagliati ,Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,4.1900
63,"pastaZara - Макаронные изделия группы А, высшего сорта PastaZara ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,4.1900
64,"Шебекинские - Макаронные изделия группы А, высшего сорта «Шебекинские» ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,4.1900
65,"GranMulino - Макаронные изделия, «перья» Granmulino ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,3.7400
66,"PastaMania - Изделия макаронные группа А, высший сорт: «пёрышки» PastaMania ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,3.5000
67,"Pasteroni - Макаронные изделия «перья», рифленые, №129, группа А, высший сорт Pasteroni ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,3.4700
68,Агро-Альянс - Макаронные изделия из твердых сортов пшеницы: «перья» ,Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,3.3650
69,"Маркет Перекресток - Макаронные изделия группы А, высшего сорта, «Перья» «Маркет Перекресток» ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,3.3650
70,"Aida - Макаронные изделия из твердых сортов пшеницы, «перья» ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,3.2500
71,ВкусВилл - Макаронные изделия из твёрдых сортов пшеницы «ВкусВилл» ,Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,3.1850
72,"Добродея - Изделия макаронные, группа А,  высший сорт «Добродея» ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,2.000,5.000,3.0000
73,"Globus - «Перья» рифленые, изделия макаронные из твердых сортов пшеницы, группы А, высшего сорта, трубчатые Globus ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,1.0000
74,"Гудвилл - Хлопья овсяные, геркулес «Экстра» «Гудвилл» ",Бакалея,Хлопья овсяные,5.000,5.000,4.9370
75,"Лакоме - Геркулес, овсяные хлопья «Лакоме» ",Бакалея,Хлопья овсяные,5.000,5.000,4.9370
76,Макфа - Хлопья овсяные «Макфа» ,Бакалея,Хлопья овсяные,5.000,5.000,4.9370
77,"Пассим - Хлопья овсяные, геркулес «12 месяцев» «Пассим» ",Бакалея,Хлопья овсяные,5.000,5.000,4.9370
78,"Myllyn Paras 1928 - Геркулес крупные, овсяные хлопья Myllyn Paras 1928 ",Бакалея,Хлопья овсяные,5.000,5.000,4.9160
79,"Маркет Перекресток - Хлопья овсяные, геркулес «Маркет Перекресток» ",Бакалея,Хлопья овсяные,5.000,5.000,4.9160
80,"Националь - Хлопья овсяные, геркулес «Националь» ",Бакалея,Хлопья овсяные,5.000,5.000,4.9160
81,"Увелка - Хлопья овсяные, геркулес «Полезный» «Увелка» ",Бакалея,Хлопья овсяные,5.000,5.000,4.8950
82,Ясно солнышко - Хлопья овсяные №2 «Ясно солнышко» ,Бакалея,Хлопья овсяные,5.000,5.000,4.8950
83,"ВкусВилл - Хлопья овсяные, геркулес «ВкусВилл» ",Бакалея,Хлопья овсяные,5.000,5.000,4.8740
84,"Русский продукт - Хлопья овсяные, геркулес традиционный «Русский продукт» ",Бакалея,Хлопья овсяные,5.000,5.000,4.5590
85,Мистраль - Цельнозерновые овсяные хлопья «Мистраль» ,Бакалея,Хлопья овсяные,5.000,5.000,4.4750
86,Nordic - Овсяные хлопья Nordic ,Бакалея,Хлопья овсяные,5.000,5.000,4.2230
87,Лучший выбор - Овсяные хлопья «Экстра» «Лучший выбор» ,Бакалея,Хлопья овсяные,3.200,5.000,4.2185
88,"Агрокультура - Хлопья овсяные, геркулес «Агрокультура» ",Бакалея,Хлопья овсяные,5.000,5.000,4.0550
89,"Дикси - Хлопья зерновые быстрого приготовления овсяные, геркулес «Дикси» ",Бакалея,Хлопья овсяные,2.300,5.000,4.0220
90,"Магнит - Хлопья овсяные, геркулес быстрого приготовления «Магнит» ",Бакалея,Хлопья овсяные,2.300,5.000,4.0220
91,Русский завтрак - Хлопья из 4 злаков с отрубями «Русский завтрак» ,Бакалея,Хлопья овсяные,2.300,5.000,3.9300
92,Быстров - Хлопья овсяные варимые «Быстров» «Нежные»  ,Бакалея,Хлопья овсяные,1.400,5.000,3.7700
93,Экстра - Овсяные хлопья «Клинские» «Экстра» ,Бакалея,Хлопья овсяные,3.200,5.000,3.6200
94,"Каждый день - Хлопья овсяные, геркулес «Каждый день» ",Бакалея,Хлопья овсяные,5.000,5.000,3.5720
